1568598076.7833004,    ,"[{'shop_id': '21159771'}, {'word': '11oz', 'count': 25}, {'word': 'dishwasher', 'count': 25}, {'word': 'mughandmade', 'count': 24}, {'word': 'mug', 'count': 24}, {'word': 'safe.handmade', 'count': 16}]"
1568598076.783343,    ,"[{'shop_id': '21158587'}, {'word': 'svg', 'count': 135}, {'word': 'files', 'count': 55}, {'word': 'superhero', 'count': 53}, {'word': 'logo', 'count': 36}, {'word': 'cut', 'count': 30}]"
1568598076.7833848,    ,"[{'shop_id': '21155263'}, {'word': 'halloween', 'count': 76}, {'word': 'files', 'count': 50}, {'word': 'svg', 'count': 50}, {'word': 'strive', 'count': 25}, {'word': 'digital\n***', 'count': 25}]"
1568598076.7834272,    ,"[{'shop_id': '21155083'}, {'word': 'gold', 'count': 35}, {'word': 'hoop', 'count': 22}, {'word': 'plated', 'count': 21}, {'word': 'beaded', 'count': 15}, {'word': 'charm', 'count': 13}]"
1568598076.7834818,    ,"[{'shop_id': '21155035'}, {'word': 'car', 'count': 6}, {'word': 'headband', 'count': 5}, {'word': 'laptop', 'count': 5}, {'word': 'fkn', 'count': 4}, {'word': 'ass', 'count': 4}]"
1568598076.7835228,    ,"[{'shop_id': '21154863'}, {'word': 'painted', 'count': 34}, {'word': 'bottle', 'count': 14}, {'word': 'lightshand', 'count': 10}, {'word': 'glass', 'count': 9}, {'word': 'x', 'count': 9}]"
1568598076.7835615,    ,"[{'shop_id': '21153881'}, {'word': 'please', 'count': 175}, {'word': 'invitation', 'count': 100}, {'word': 'party', 'count': 100}, {'word': 'email', 'count': 75}, {'word': 'within', 'count': 50}]"
1568598076.7836015,    ,"[{'shop_id': '21153458'}, {'word': 'signed', 'count': 25}, {'word': 'print', 'count': 25}, {'word': 'numbered', 'count': 25}, {'word': 'original', 'count': 25}, {'word': '&', 'count': 10}]"
1568598076.7836378,    ,--save
1568598076.783672,    ,make ./data/distribution_1568598076$1568598069.csv
1568598672.7382727,    ,"--'main, analyzer.py'"
1568598672.7383888,    ,--get key
1568598672.7385201,    ,--get recent run
1568598672.7386184,    ,timestamp: 1568598069
1568598672.738681,    ,"--get shops, pv_timestamp: 1568598069"
1568598672.738854,    ,--threader
1568598672.7406218,    ,"--word counter, shop_id: 21162583"
1568598672.7411175,    ,"--word counter, shop_id: 21162039"
1568598672.7411702,    ,"--word counter, shop_id: 21159771"
1568598672.7416413,    ,"--word counter, shop_id: 21158587"
1568598673.6203184,    ,API RESPONSE: 200
1568598673.6209397,    ,API RESPONSE: 200
1568598673.6261532,    ,--strip punctuation
1568598673.6262043,    ,--strip punctuation
1568598673.6308465,    ,"--word counter, shop_id: 21155263"
1568598673.6308897,    ,"--word counter, shop_id: 21155083"
1568598673.6600637,    ,API RESPONSE: 200
1568598673.6610453,    ,--strip punctuation
1568598673.6629007,    ,"--word counter, shop_id: 21155035"
1568598673.670679,    ,API RESPONSE: 200
1568598673.6716633,    ,--strip punctuation
1568598673.6726027,    ,"--word counter, shop_id: 21154863"
1568598674.7335417,    ,API RESPONSE: 200
1568598674.73406,    ,API RESPONSE: 200
1568598674.7373986,    ,--strip punctuation
1568598674.7394073,    ,API RESPONSE: 200
1568598674.7402227,    ,API RESPONSE: 200
1568598674.7414596,    ,--strip punctuation
1568598674.7415524,    ,--strip punctuation
1568598674.7419205,    ,"--word counter, shop_id: 21153881"
1568598674.7420754,    ,--strip punctuation
1568598674.744455,    ,"--word counter, shop_id: 21153458"
1568598676.825573,    ,API RESPONSE: 200
1568598676.8269346,    ,API RESPONSE: 200
1568598676.8287597,    ,--strip punctuation
1568598676.8288143,    ,--strip punctuation
1568598699.453953,    ,"--'main, analyzer.py'"
1568598699.4540148,    ,--get key
1568598699.454085,    ,--get recent run
1568598699.4541383,    ,timestamp: 1568598069
1568598699.4541743,    ,"--get shops, pv_timestamp: 1568598069"
1568598699.4542515,    ,--threader
1568598699.4559705,    ,"--word counter, shop_id: 21162583"
1568598699.4562933,    ,"--word counter, shop_id: 21159771"
1568598699.4565253,    ,"--word counter, shop_id: 21162039"
1568598699.4566517,    ,"--word counter, shop_id: 21158587"
